label,text
ham,"Hello, how are you?"
spam,"You won 1 lakh rupees! Claim now!!!"
ham,"Are we meeting tomorrow?"
spam,"Free entry in 2 days, click here"
ham,"See you at the office"
spam,"Win a brand new car today"
ham,"Can we talk later? I'm busy right now."
spam,"Congratulations! You have been selected for a free vacation."
ham,"Don't forget to bring the notes tomorrow."
spam,"Limited time offer! Buy one get one free."
ham,"I will call you once I reach home."
spam,"Your account has been suspended. Click the link to verify."
ham,"Happy Birthday! Wish you a wonderful year ahead."
spam,"You have won a lottery of $10,000. Reply to claim now."
ham,"Let's meet at the coffee shop at 5 PM."
spam,"URGENT! Your ATM card is blocked. Call this number immediately."
ham,"Can you please send me the project file?"
spam,"Win an iPhone today by clicking this link."
ham,"Thanks for your help yesterday."
spam,"Congratulations! You are the lucky winner of a brand-new bike."
ham,"Are you coming to the party tonight?"
spam,"Get 50% discount on all items. Hurry, offer ends soon!"
ham,"The exam results are out, check the notice board."
spam,"Final reminder: Your loan has been approved. Call us now."
ham,"Good luck for your interview tomorrow!"
spam,"Cheap medicines available online. Order now and save 80%."
ham,"Let's go for a walk this evening."
spam,"You are pre-approved for a credit card. Apply today."
ham,"What time does the movie start?"
spam,"You won a free recharge coupon. Reply YES to claim."
ham,"Can you help me with the homework?"
spam,"You have a chance to earn $5000 weekly. Join today!"
ham,"Call me when you are free."
spam,"Winner! Get your free holiday package now."
